崖上的波妞,2008,8.6,470322
彗星来的那一夜,2013,8.5,549464
房间,2015,8.8,359345
血钻,2006,8.7,366073
黑客帝国2：重装上阵,2003,8.7,391361
步履不停,2008,8.8,268174
魂断蓝桥,1940,8.8,267446
战争之王,2005,8.7,353748
末路狂花,1991,8.9,235266
爱乐之城,2016,8.4,851970
花束般的恋爱,2021,8.6,558119
火星救援,2015,8.5,696250
谍影重重2,2004,8.7,338694
千年女优,2001,8.8,251688
燃情岁月,1994,8.8,277214
哈利·波特与死亡圣器(上),2010,8.5,541369
芙蓉镇,1987,9.2,123024
阿飞正传,1990,8.5,488251
谍影重重,2002,8.6,408540
再次出发之纽约遇见你,2013,8.6,413634
弱点,2009,8.7,291343
朗读者,2008,8.6,442337
海洋,2009,9.1,153747
香水,2006,8.5,528686
穿越时空的少女,2006,8.6,369525
我爱你,2011,9.0,160179
地球上的星星,2007,8.9,198083
